财务指标公式

分类	名称	果仁计算公式	备注
估值	市盈率	总市值/TTM(归属于母公司所有者的净利润,0)	即PE_TTM，等于总市值除以过去12个月的归属于母公司所有者的净利润
市净率	总市值/归属母公司股东权益合计	即PB，等于总市值除以归属母公司股东权益合计。
每股有形资产	（资产总计-无形资产-商誉）/总股本	最近一季度的 （资产总计-无形资产-商誉）/总股本
每股负债	负债合计/总股本	最近一季度的 负债合计/总股本
每股盈余公积	盈余公积/总股本	最近一季度的盈余公积/总股本
每股留存收益	（盈余公积+未分配利润）/总股本	最近一季度的（盈余公积+未分配利润）/总股本
每股投资现金流量净额	TTM(投资现金流量净额， 0)/总股本	过去12个月的投资现金流量净额/总股本
每股筹资现金流量净额	TTM(筹资现金流量净额， 0)/总股本	过去12个月的筹资现金流量净额/总股本
每股折旧和摊销	（TTM(固定资产折旧，0）+ TTM(无形资产摊销，0）+ TTM(长期待摊费用摊销，0））/总股本	过去12个月的（固定资产折旧+无形资产摊销+长期待摊费用摊销）/总股本
最近一年合计TTM	营业总收入TTM	TTM（营业总收入， 0）	过去12个月的营业总收入
营业总成本TTM	TTM（营业总成本， 0）	过去12个月的营业总成本
营业收入TTM	TTM（营业收入， 0）	过去12个月的营业收入
营业成本TTM	TTM（营业成本， 0）	过去12个月的营业成本
毛利TTM	TTM(营业收入,0) - TTM(营业成本,0)	过去12个月的毛利TTM
销售费用TTM	TTM（销售费用， 0）	过去12个月的销售费用
管理费用TTM	TTM（管理费用， 0）	过去12个月的管理费用
财务费用TTM	TTM（财务费用， 0）	过去12个月的财务费用
资产减值损失TTM	TTM（资产减值损失， 0）	过去12个月的资产减值损失
营业利润TTM	TTM（营业利润， 0）	过去12个月的营业利润
营业外收支净额TTM	TTM（营业外收入， 0）- TTM(营业外支出，0)	过去12个月的营业外收支净额
利润总额TTM	TTM（利润总额， 0）	过去12个月的利润总额
净利润TTM	TTM（净利润， 0）	过去12个月的净利润
归属于母公司股东的净利润TTM	TTM（归属于母公司股东的净利润， 0）	过去12个月的归属于母公司股东的净利润
销售商品提供劳务收到的现金TTM	TTM（销售商品、提供劳务收到的现金， 0）	过去12个月的销售商品、提供劳务收到的现金
经营现金流量净额TTM	TTM（经营现金流量净额， 0）	过去12个月的经营现金流量净额
投资现金流量净额TTM	TTM（投资现金流量净额， 0）	过去12个月的投资现金流量净额
筹资现金流量净额TTM	TTM（筹资现金流量净额， 0）	过去12个月的筹资现金流量净额
现金及现金等价物净增加额TTM	TTM（现金及现金等价物净增加额， 0）	过去12个月的现金及现金等价物净增加额
