factor,n_days_5d,rankic_days_5d,constant_xs_days_5d,mean_rank_ic_5d,rank_icir_5d,ic_hit_rate_5d,n_days_10d,rankic_days_10d,constant_xs_days_10d,mean_rank_ic_10d,rank_icir_10d,ic_hit_rate_10d,n_days_20d,rankic_days_20d,constant_xs_days_20d,mean_rank_ic_20d,rank_icir_20d,ic_hit_rate_20d,quantile_days_5d,quantile_min_buckets_5d,quantile_max_buckets_5d,reduced_quantile_dates_5d,monotonic,mono_corr,mono_p_value,ls_ann_return,ls_sharpe,ls_max_dd,grade
acc_asset_growth,1707,1707,0,0.0002598300907542849,0.002837584479889144,0.5922671353251318,1707,1707,0,-0.00061640599622529,-0.006136613447064783,0.622729935559461,1707,1707,0,-0.001644878481092284,-0.015140083021431158,0.6543643819566491,1707,5,5,0,True,0.8999999999999998,0.03738607346849874,0.09870968759059906,0.4042495607288917,1.232042908668518,D
acc_capex_intensity_ttm,1707,1707,0,0.007585257866251056,0.11366209488676611,0.5307557117750439,1707,1707,0,0.008676152227733967,0.12222503017046332,0.5436438195664909,1707,1707,0,0.010717213128597478,0.14312463069473907,0.5471587580550674,1707,5,5,0,True,0.8999999999999998,0.03738607346849874,0.23528657853603363,1.3610967730724226,0.9692034125328064,C
acc_cash_roa_ttm,1707,1707,0,0.014436275035605328,0.1991995878363337,0.5272407732864675,1707,1707,0,0.018245049151193602,0.22984091849276375,0.5401288810779145,1707,1707,0,0.025176252964071263,0.30091827361825507,0.5723491505565319,1707,5,5,0,True,0.9999999999999999,1.4042654220543672e-24,0.31209754943847656,1.6416425345980272,1.1882213354110718,C
acc_cfo_to_ni_ttm,1707,1707,0,0.008807441212903883,0.19541420093432751,0.5149384885764499,1707,1707,0,0.011483359965884702,0.23618602549667556,0.4862331575864089,1707,1707,0,0.016176942390831412,0.30809968680701255,0.479203280609256,1707,5,5,0,True,0.8999999999999998,0.03738607346849874,0.136323019862175,1.3643588103732749,0.5439260005950928,C
acc_dWC_inventory,1707,1707,0,0.004590730228705566,0.08857688698401163,0.4710017574692443,1707,1707,0,0.005712997759262436,0.10161705331732174,0.5577035735207967,1707,1707,0,0.007840670387018247,0.12903589177855243,0.5536028119507909,1707,5,5,0,False,0.7999999999999999,0.10408803866182788,0.16064827144145966,1.3010201901075709,0.5633150339126587,D
acc_dWC_receivables,1707,1707,0,0.0006210695196777957,0.00778762124767289,0.5430579964850615,1707,1707,0,0.00010471875069722111,0.0012114383163737308,0.5512595196250732,1707,1707,0,-0.0019134033211980121,-0.020271856227881017,0.5512595196250732,1707,5,5,0,True,0.9999999999999999,1.4042654220543672e-24,0.10506929457187653,0.5711142437073676,0.8411040306091309,D
acc_goodwill_ratio,1707,1707,0,-0.009298290810001029,-0.08287819373761705,0.5571177504393673,1707,1707,0,-0.014004792916553419,-0.11772077660447419,0.5852372583479789,1707,1707,0,-0.022829320503244054,-0.18273223393113344,0.6157000585823081,1707,5,5,0,False,-0.7,0.1881204043741873,-0.0828852578997612,-0.2991489064437042,1.9437694549560547,D
acc_inventory_sales_mismatch_yoy,776,1707,931,-0.008645014576942282,-0.2887669817093088,0.46005154639175255,793,1707,914,-0.011863326453288985,-0.37733526369360604,0.5472887767969735,813,1707,894,-0.015359833984414682,-0.4537795295396011,0.5375153751537516,1707,3,5,738,False,-0.39999999999999997,0.5046315754686911,-0.36102946555474325,-4.51187983246599,1.446108805886979,C
acc_net_share_issuance,1707,1707,0,0.005424585803547028,0.0873489811860461,0.5348564733450498,1707,1707,0,0.007412816427483687,0.10889358364776733,0.5553602811950791,1707,1707,0,0.009812996794698665,0.1330846681077374,0.5688342120679555,1707,3,4,1707,False,0.7999999999999999,0.20000000000000007,0.17629088461399078,1.4097179046223525,0.23274406790733337,D
acc_noa_scaled,1707,1707,0,0.0005358313442205962,0.006382114227586349,0.5577035735207967,1707,1707,0,-0.0006987406424934933,-0.007943672095360217,0.5852372583479789,1707,1707,0,-0.004883640884761541,-0.051364859845824576,0.6256590509666081,1707,5,5,0,False,0.09999999999999999,0.8728885715695383,0.03824806213378906,0.18318857672861585,1.3849962949752808,D
acc_receivables_sales_mismatch_yoy,837,1707,870,-0.011331577125512408,-0.3453184509332348,0.5531660692951016,842,1707,865,-0.014074555473748425,-0.39864254637407226,0.5451306413301663,840,1707,867,-0.018530299394022377,-0.4984121390329741,0.5416666666666666,1707,3,5,663,False,-0.7,0.1881204043741873,-0.4300651468852423,-4.724198704664551,1.7750939879042562,B
acc_total_accruals_ttm,1707,1707,0,-0.007443693626120411,-0.13162971667870757,0.5553602811950791,1707,1707,0,-0.011305179674182918,-0.1888469322295823,0.5864089045108377,1707,1707,0,-0.017314123298648263,-0.270010035443375,0.6250732278851787,1707,5,5,0,False,-0.7999999999999999,0.10408803866182788,-0.20608927309513092,-1.5813335800134285,1.5798676013946533,C
grow_n_income_attr_p_yoy_accel_q,1706,1706,0,0.00856108123343243,0.3472303141867478,0.5386869871043376,1706,1706,0,0.011283816043570996,0.4414381843891955,0.5814771395076201,1706,1706,0,0.01391911713966482,0.4992104694159604,0.6014067995310668,1706,2,5,573,False,-0.49999999999999994,0.39100221895577053,0.344915641311923,5.353044385321865,0.09340044460259378,B
grow_n_income_attr_p_yoy_q,1707,1707,0,0.01514808973333603,0.23714332080656575,0.5477445811364968,1707,1707,0,0.01872687014041494,0.2607615270159928,0.5530169888693615,1707,1707,0,0.023672694120495653,0.3051702078191133,0.5612185120093731,1707,5,5,0,True,0.8999999999999998,0.03738607346849874,0.4215167164802551,2.83328126909589,0.44664353132247925,C
grow_operate_profit_yoy_accel_q,1706,1706,0,0.007408909432959021,0.31508230202304705,0.4900351699882767,1706,1706,0,0.0100376809219292,0.42291308920304166,0.4947245017584994,1706,1706,0,0.012384725602030336,0.5010355984339888,0.49531066822977726,1706,2,5,571,False,-0.49999999999999994,0.39100221895577053,0.3016530358537026,4.744764810354978,0.06619195267558098,B
grow_operate_profit_yoy_q,1707,1707,0,0.014077642178241576,0.23610807399030453,0.5413005272407733,1707,1707,0,0.017780187782406746,0.26617442634704624,0.5354422964264792,1707,1707,0,0.023231061731513736,0.3257639505167711,0.5606326889279437,1707,5,5,0,True,0.8999999999999998,0.03738607346849874,0.3864220082759857,2.878856916917468,0.31641602516174316,C
grow_revenue_yoy_accel_q,722,1706,984,0.007568080751187613,0.26220382373098505,0.5678670360110804,722,1706,984,0.010458126225951905,0.35004057109323816,0.5775623268698061,723,1706,983,0.01358729497901543,0.45925741530962044,0.5463347164591977,1701,1,5,1098,False,-0.7,0.1881204043741873,0.31524492640599067,3.538173794721017,0.09330308328208048,C
grow_revenue_yoy_q,673,1707,1034,0.012644925030674384,0.18219980579196424,0.4799405646359584,675,1707,1032,0.01632761312600447,0.20935588249210946,0.4666666666666667,675,1707,1032,0.02066903502440527,0.24195091125223914,0.42962962962962964,1707,5,5,0,True,0.9999999999999999,1.4042654220543672e-24,0.5011552572250366,2.773745853441672,0.5180277824401855,C
